generacion, id, cromosoma, valor 1,valor 2,valor 3,valor 4,valor 5,valor 6,valor 7,valor 8,valor 9,valor 10,valor 11,valor 12,valor 13,valor 14,valor 15,valor 16,valor 17,valor 18,valor 19,valor 20,valor 21,valor 22,valor 23,valor 24,valor 25,valor 26,valor 27,valor 28,valor 29,valor 30,aptitud, valor_esperado,
1,30,010110000101011010111011001011110010010100100110001011010101100100110111110010101011000110011110000010111111111111111101100000011011011000001000000111111000000010010101100100000011011011101101110000001001110001111110000001001001011011000100101100100101001011011101100000000101110010001011000110100010010110111010101100101001111100011000010101010110101010100110011110000000111010001000011001,-9.29923,20.4847,14.1997,4.47198,20.0598,-3.84935,10.4053,26.3374,30,11.299,20.6605,-26.3081,-27.8098,-22.4039,13.936,-28.8573,-0.465145,4.42071,-25.5976,-20.2942,20.6312,13.3793,16.5364,-19.2614,11.863,23.2169,-9.92187,-10.4932,0.216091,-26.0664,5.79517e+08,1.20663,
1,79,100010001001110111101111001011111000011100101000110110101110001100111100000111000111010111100001000010010101100011011101110111111001110110101101010011111001001110111110010111110101110111011111010000110110000010100011111010001011101100000000100111100110000110011001010010101010111110110000001010111000000100011110000010010110100001001000100011010100111110111001111001001011010010101111111011,2.01807,14.5074,14.5587,4.78696,10.8302,-1.82029,-23.0924,-28.0588,-9.1747,14.0532,-2.17922,9.32853,-15.9651,14.7052,-1.91552,-23.6711,8.42022,-24.5208,-29.4213,-18.5655,4.84556,-7.64376,-27.4509,-27.905,-27.7951,-27.8757,-17.5253,21.7885,-12.3538,-7.53388,5.77216e+08,1.20184,
1,68,111110011010110000100000111110100001001100010111011110001000101010111100010111000101100111110011000110101011100101110110101100110000110111110000010100110101010000111101011001000101001000011101100001110100110110101001101110000111111011000000100110000110111001010000101101011110000010001111110001011010000101100010101111000101011100110010111011101001110011010101111100100010100110101001100100,28.5203,0.963252,24.4476,2.75058,2.03272,-1.70309,-24.7332,5.8198,13.4672,20.2503,-16.932,-20.2356,-14.1045,17.0272,1.73239,-16.3094,9.78269,-26.2862,-29.4433,-17.0712,-27.341,15.2619,26.5865,-27.4069,14.1411,23.9934,13.7016,-4.92614,-21.8911,-10.5152,5.75996e+08,1.1993,
1,40,111100111011000001100100011100110101000101011100010101011111010101100000010110010101011010011000101100111011001111001110101001000011111001100111000111011000011001010010101100110000000001011011000010011011100001100010001100111110110100000000100011011000010111010100000010100000110100100101101110010110000111011010110001011011011100101001110111011100110000111000110001001111111001111111001100,27.1212,-27.0626,18.1113,10.8229,-7.65841,15.1666,-9.92919,16.3167,12.1414,19.8108,28.5057,3.46112,-6.28861,-6.09083,-24.6673,-11.7751,-6.9845,-0.553046,-29.4872,15.6867,-14.8517,-23.8396,-4.13503,-26.5279,16.3387,23.7297,-2.06202,-23.3488,-11.277,29.6264,5.71035e+08,1.18897,
1,23,111111101001010000000110010111010110101100001101110011011100000101000111110001101100101010111101011010001010111110001111000101111111011001100111100100010001110100110100001100011010111011001010111010101011000110010100010111110110111101101111000010000000010101001100111010011111001101011000000011001011001011110110111010110110011100010100000001111101001100001101110111100101100110011101011011,29.6704,0.18679,-2.42095,1.61519,21.5834,3.64424,11.8777,25.1434,11.1452,23.2023,21.0048,17.0052,19.5178,-6.71347,11.8923,-9.95117,4.77231,25.7661,14.0972,-29.3847,18.4263,24.074,-29.2602,5.5561,25.1728,23.0924,-22.6676,1.62251,23.8176,-16.2068,5.70374e+08,1.1876,
1,6,001100110001011000000000010110011101011001011001101001110010111011101111011111110011000100011010000111010100101000001000010001100100010001100001001010011010111001000111010000100011110010000010101011100111111100000110010010001101101010111001111000101001010010010110000110011001011111110001111111110000000011101111001000111011010111101000011001100100111110001001101001000110110110000100101000,-18.0308,15.0128,-5.77585,-19.4958,-3.06556,22.2647,17.8769,18.9684,-12.6468,-27.9416,-25.8979,4.88219,23.5466,1.05115,-22.3453,-2.81651,-28.5277,-23.5979,24.2718,-12.5882,-7.12367,-18.7779,-0.0549383,-28.2493,-21.6347,14.3096,5.91503,16.1336,-13.394,-27.8318,5.69421e+08,1.18561,
1,51,010100001110101101011010110001011001111111000111110100010110110000110101000011001000100001011101101011110110011000100101111101110111100010001010011101001010111001001100010001110001001111011010000001011000110011010101010101110111110011101001001010000101000001000010100110101100110000000011101011100000100000100100110111011001001110101111011110110111110010011011001001000000001001111000011110,-11.0353,-4.83824,-24.7332,23.422,-24.6673,-5.13124,-22.0156,25.6635,-6.06153,14.7491,23.0118,-16.3313,23.6198,3.31461,27.7805,-19.5983,20.0012,26.1616,8.58869,-20.5946,-20.2356,5.62935,25.2021,-14.7345,21.9351,-2.36235,25.7734,-11.8191,-14.9689,26.4766,5.6632e+08,1.17915,
1,80,100000000001111011011101110001000111000110111011000001110101111100000011101001111011001011011010000001110011111100110100001110100110001110000111000011000001001101100100011110101101000010101101010011000110011100001101010000100000010011000100001100011011010011010001110111000111000100101001000111100001100111011010011010101111000110001100100101010100110111101001101110110000110101100000000110,0.0256379,21.5029,-25.8393,21.9204,-2.35502,-28.2932,25.4804,18.8072,-15.1886,1.71041,3.30729,1.41741,-17.2836,27.5754,-19.8474,-6.74277,-26.8942,-14.859,-26.0737,21.1952,-23.0265,23.0485,-13.2401,18.4776,-4.93346,-18.3824,-10.0317,27.3923,11.4455,15.0494,5.65024e+08,1.17646,
1,15,110001101001001001000010101111101010000110011110101010110101110000101101000110111110111111101001101011100010111010100010000010000011111010110101000011111101101101010011100011010101011101011001010001101110100100000110101111101100111011110010000010001100011011110110101100001101100001111100100011111100111001101000001000001111010010101110001110110101111010000111101011100010010000001001000100,16.5438,-13.0497,28.7181,18.5948,12.6029,-8.85972,29.0624,-11.8484,-19.0709,-14.7638,28.7914,1.85692,12.4783,-23.7517,20.2356,-17.0419,-28.4251,21.0634,16.91,-6.68417,-4.91149,11.4821,-21.5761,-2.98498,-22.2793,5.10194,25.6635,-14.1045,23.0338,-25.7514,5.64368e+08,1.17509,
1,28,101101110010100001010010011110110000010111011111101010101101110110100110111011010100100000101100001001010000100110101111000101110100000101101101110110111011110000011100110111011110001110011100011100111101001010010110010010110111111101111110111001111110011101010101011000001101100010010010011101000010100110010111100100100110001010000111010111011100011110111010001111100011110110110111101110,12.9325,-27.59,25.3339,26.2129,10.7496,-11.7531,-10.7716,-7.22622,-27.7365,23.1876,-28.6668,25.7514,15.423,14.0093,24.1692,7.16762,5.22647,-3.76877,28.9745,27.1139,-9.83396,11.5187,6.80869,-12.0168,4.31083,-11.0353,-2.08399,21.8252,23.4074,-3.87865,5.63569e+08,1.17343,
